         x            F(x)   знак
-----------------------------------
   -3.0000       -3.217760      -
   -2.7500       -2.486678      -
   -2.5000       -1.803056      -
   -2.2500       -1.193854      -
   -2.0000       -0.681405      -
   -1.7500       -0.282028      -
   -1.5000       -0.005010      -
   -1.2500        0.147969      +
   -1.0000        0.182942      +
   -0.7500        0.113278      +
   -0.5000       -0.041149      -
   -0.2500       -0.255192      -
    0.0000       -0.500000      -
    0.2500       -0.744808      -
    0.5000       -0.958851      -
    0.7500       -1.113278      -
    1.0000       -1.182942      -
    1.2500       -1.147969      -
    1.5000       -0.994990      -
    1.7500       -0.717972      -
    2.0000       -0.318595      -
    2.2500        0.193854      +
    2.5000        0.803056      +
    2.7500        1.486678      +
    3.0000        2.217760      +
